import_date,code,title,url,price_gbp,availability,units_sold
2024-05-04,HED21072,Macallan 25 Year Old Symingtons Choice Signatory 1997,https://hedonism.co.uk/product/macallan-25-year-old-symingtons-choice-signatory-1997-whisky,1950.0,1.0,1.0
2024-05-04,HED34528,Craigellachie 33 Year Old,https://hedonism.co.uk/product/craigellachie-33-year-old-whisky,1600.0,4.0,2.0
2024-05-04,HED21764,BenRiach 38 Year Old Cask 3111 Batch 13 1977,https://hedonism.co.uk/product/benriach-38-year-old-cask-3111-batch-13-1977-whisky,1195.0,1.0,2.0
2024-05-04,HED3162,Yamazaki 18 Year Old,https://hedonism.co.uk/product/yamazaki-18-year-old-whisky,850.0,5.0,14.0
2024-05-04,HED21765,BenRiach 37 Year Old Cask 3114 Batch 13 1978,https://hedonism.co.uk/product/benriach-37-year-old-cask-3114-batch-13-1978-whisky,850.0,2.0,1.0
2024-05-04,HED70670,Dalmore 21 Year Old,https://hedonism.co.uk/product/dalmore-21-year-old-whisky,575.0,19.0,1.0
2024-05-04,HED41009,Laphroaig 25 Year Old Cask Strength,https://hedonism.co.uk/product/laphroaig-25-year-old-cask-strength-whisky,460.0,18.0,1.0
2024-05-04,HED47125,Compass Celestial,https://hedonism.co.uk/product/compass-celestial-whisky,300.0,5.0,1.0
2024-05-04,HED46903,Glenfarclas 26 Year Old Oloroso Sherry Finish,https://hedonism.co.uk/product/glenfarclas-26-year-old-oloroso-sherry-finish-whisky,240.0,41.0,1.0
2024-05-04,HED4305,Glendronach 21 Year Old Parliament,https://hedonism.co.uk/product/glendronach-21-year-old-parliament-whisky,225.0,52.0,1.0
2024-05-04,HED46536,Loch Lomond 21 Year Old,https://hedonism.co.uk/product/loch-lomond-21-year-old-whisky,199.0,1.0,1.0
2024-05-04,HED46753,Yamazaki 12 Year Old 100th Anniversary,https://hedonism.co.uk/product/yamazaki-12-year-old-100th-anniversary-whisky,199.0,37.0,1.0
2024-05-04,HED40179,Ichiros Malt  Grain 2020 Limited Edition,https://hedonism.co.uk/product/ichiros-malt--grain-2020-limited-edition-whisky,190.0,13.0,1.0
2024-05-04,HED6100,Ichiros Malt MWR,https://hedonism.co.uk/product/ichiros-malt-mwr-whisky,185.0,12.0,1.0
2024-05-04,HED46953,Macallan Classic Cut 2023 Release,https://hedonism.co.uk/product/macallan-classic-cut-2023-release-whisky,165.0,28.0,1.0
2024-05-04,HED40140,Macallan 15 Year Old Double Cask,https://hedonism.co.uk/product/macallan-15-year-old-double-cask-whisky,145.0,18.0,2.0
2024-05-04,HED64374,Bunnahabhain 18 Year Old,https://hedonism.co.uk/product/bunnahabhain-18-year-old-whisky,141.0,30.0,1.0
2024-05-04,HED53072,Balblair 18 Year Old,https://hedonism.co.uk/product/balblair-18-year-old-whisky,140.0,4.0,1.0
2024-05-04,HED46596,Compass Box Hedonism² Exclusive Hedonism Wines,https://hedonism.co.uk/product/compass-box-hedonism²-exclusive-hedonism-wines-whisky,140.0,297.0,3.0
2024-05-04,HED6099,Ichiros Malt  Grain,https://hedonism.co.uk/product/ichiros-malt--grain-whisky,135.0,4.0,1.0
2024-05-04,HED21061,Port Dundas 25 Year Old Cask Strength Collection Signatory 1996,https://hedonism.co.uk/product/port-dundas-25-year-old-cask-strength-collection-signatory-1996-whisky,130.0,4.0,1.0
2024-05-04,HED45869,Balvenie 16 Year Old French Oak,https://hedonism.co.uk/product/balvenie-16-year-old-french-oak-whisky,122.0,6.0,2.0
2024-05-04,HED46684,Craigellachie 17 Year Old,https://hedonism.co.uk/product/craigellachie-17-year-old-whisky,114.0,10.0,1.0
2024-05-04,HED21417,Benrinnes 17 Year Old Infrequent Flyers 2006,https://hedonism.co.uk/product/benrinnes-17-year-old-infrequent-flyers-2006-whisky,96.0,3.0,1.0
2024-05-04,HED64375,Ledaig 18 Year Old,https://hedonism.co.uk/product/ledaig-18-year-old-whisky,86.7,4.0,1.0
2024-05-04,HED51274,Glendronach 15 Year Old Revival,https://hedonism.co.uk/product/glendronach-15-year-old-revival-whisky,78.5,50.0,1.0
2024-05-04,HED6052,Lagavulin 16 Year Old,https://hedonism.co.uk/product/lagavulin-16-year-old-whisky,78.0,85.0,1.0
2024-05-04,HED6046,Oban 14 Year Old,https://hedonism.co.uk/product/oban-14-year-old-whisky,75.0,14.0,1.0
2024-05-04,HED45943,Ardbeg Ardcore,https://hedonism.co.uk/product/ardbeg-ardcore-whisky,75.0,9.0,2.0
2024-05-04,HED21697,Knockdhu 11 Year Old Single Cask Berry Brothers 2012,https://hedonism.co.uk/product/knockdhu-11-year-old-single-cask-berry-brothers-2012-whisky,75.0,5.0,1.0
2024-05-04,HED6063,Chivas Regal 18 Year Old,https://hedonism.co.uk/product/chivas-regal-18-year-old-whisky,71.2,35.0,2.0
2024-05-04,HED21179,Glenturret 10 Year Old Peat Smoked 2023 Release,https://hedonism.co.uk/product/glenturret-10-year-old-peat-smoked-2023-release-whisky,67.0,5.0,1.0
2024-05-04,HED21370,Benromach Cask Strength 2013,https://hedonism.co.uk/product/benromach-cask-strength-2013-whisky,66.0,4.0,1.0
2024-05-04,HED22248,Caol Ila Distillers Edition 2021 Release,https://hedonism.co.uk/product/caol-ila-distillers-edition-2021-release-whisky,65.0,3.0,1.0
2024-05-04,HED22293,Glen Garioch 8 Year Old GreatDrams 2013,https://hedonism.co.uk/product/glen-garioch-8-year-old-greatdrams-2013-whisky,65.0,5.0,1.0
2024-05-04,HED22290,Islay 7 Year Old Batch 2 GreatDrams 2013,https://hedonism.co.uk/product/islay-7-year-old-batch-2-greatdrams-2013-whisky,62.0,3.0,3.0
2024-05-04,HED31915,Lagavulin 8 Year Old,https://hedonism.co.uk/product/lagavulin-8-year-old-whisky,59.6,20.0,1.0
2024-05-04,HED7661,Nikka Coffey Grain,https://hedonism.co.uk/product/nikka-coffey-grain-whisky,58.9,6.0,2.0
