import_date,code,title,url,price_gbp,availability,units_sold
2024-05-17,HED46175,Macallan 30 Year Old Sherry Oak 2022 Release,https://hedonism.co.uk/product/macallan-30-year-old-sherry-oak-2022-release-whisky,5250.0,10.0,1.0
2024-05-17,HED46807,Macallan 30 Year Old Sherry Oak 2023 Release,https://hedonism.co.uk/product/macallan-30-year-old-sherry-oak-2023-release-whisky,5250.0,29.0,2.0
2024-05-17,HED45136,Macallan 30 Year Old Double Cask 2022 Release,https://hedonism.co.uk/product/macallan-30-year-old-double-cask-2022-release-whisky,3990.0,10.0,1.0
2024-05-17,HED7047,Hibiki 21 Year Old,https://hedonism.co.uk/product/hibiki-21-year-old-whisky,950.0,25.0,2.0
2024-05-17,HED21589,Highland Park 32 Year Old 35th Anniversary 1991,https://hedonism.co.uk/product/highland-park-32-year-old-35th-anniversary-1991-whisky,950.0,1.0,1.0
2024-05-17,HED46243,Fettercairn 28 Year Old,https://hedonism.co.uk/product/fettercairn-28-year-old-whisky,675.0,3.0,1.0
2024-05-17,HED41009,Laphroaig 25 Year Old Cask Strength,https://hedonism.co.uk/product/laphroaig-25-year-old-cask-strength-whisky,460.0,17.0,1.0
2024-05-17,HED93971,Macallan 18 Year Old Sherry Oak 2023 Release,https://hedonism.co.uk/product/macallan-18-year-old-sherry-oak-2023-release-whisky,395.0,136.0,6.0
2024-05-17,HED40141,Macallan 18 Year Old Double Cask,https://hedonism.co.uk/product/macallan-18-year-old-double-cask-whisky,310.0,8.0,1.0
2024-05-17,HED3175,Dalmore 18 Year Old,https://hedonism.co.uk/product/dalmore-18-year-old-whisky,275.0,16.0,1.0
2024-05-17,HED3110,Balvenie 21 Year Old Portwood,https://hedonism.co.uk/product/balvenie-21-year-old-portwood-whisky,243.0,11.0,2.0
2024-05-17,HED45331,Bladnoch 19 Year Old,https://hedonism.co.uk/product/bladnoch-19-year-old-whisky,189.0,5.0,1.0
2024-05-17,HED3157,Hakushu 12 Year Old,https://hedonism.co.uk/product/hakushu-12-year-old-whisky,185.0,62.0,1.0
2024-05-17,HED51227,Mortlach 16 Year Old,https://hedonism.co.uk/product/mortlach-16-year-old-whisky,105.0,22.0,1.0
2024-05-17,HED6068,Glenlivet 18 Year Old,https://hedonism.co.uk/product/glenlivet-18-year-old-whisky,105.0,14.0,1.0
2024-05-17,HED45034,Laphroaig 16 Year Old,https://hedonism.co.uk/product/laphroaig-16-year-old-whisky,87.0,13.0,1.0
2024-05-17,HED64375,Ledaig 18 Year Old,https://hedonism.co.uk/product/ledaig-18-year-old-whisky,86.7,3.0,1.0
2024-05-17,HED2976,Macallan 12 Year Old Sherry Oak,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky,86.0,51.0,2.0
2024-05-17,HED21425,Lagavulin Distillers Edition 2022 Release,https://hedonism.co.uk/product/lagavulin-distillers-edition-2022-release-whisky,85.0,12.0,5.0
2024-05-17,HED86657,Yamazaki Distillers Reserve,https://hedonism.co.uk/product/yamazaki-distillers-reserve-whisky,79.0,24.0,4.0
2024-05-17,HED6052,Lagavulin 16 Year Old,https://hedonism.co.uk/product/lagavulin-16-year-old-whisky,78.0,69.0,4.0
2024-05-17,HED86377,Compass Box Hedonism,https://hedonism.co.uk/product/compass-box-hedonism-whisky,77.0,12.0,2.0
2024-05-17,HED22915,Annandale Man OWords STR Cask 2017,https://hedonism.co.uk/product/annandale-man-owords-str-cask-2017-whisky,75.9,3.0,1.0
2024-05-17,HED8068,Singleton Dufftown 18 Year Old,https://hedonism.co.uk/product/singleton-dufftown-18-year-old-whisky,68.9,2.0,3.0
2024-05-17,HED45778,Langatun Chateau Kefraya Finish,https://hedonism.co.uk/product/langatun-chateau-kefraya-finish-whisky,67.0,1.0,1.0
2024-05-17,HED63267,Glendronach Traditionally Peated,https://hedonism.co.uk/product/glendronach-traditionally-peated-whisky,55.0,1.0,1.0
2024-05-17,HED45086,Isle Raasay Single Malt,https://hedonism.co.uk/product/isle-raasay-single-malt-whisky,54.9,7.0,1.0
2024-05-17,HED21821,Linkwood 13 Year Old Awakening Whisky Heroes,https://hedonism.co.uk/product/linkwood-13-year-old-awakening-whisky-heroes-whisky,53.0,5.0,1.0
2024-05-17,HED22124,Broger 6 Year Old Batch 1 TBWC,https://hedonism.co.uk/product/broger-6-year-old-batch-1-tbwc-whisky,51.0,1.0,1.0
2024-05-17,HED44051,Amrut Single Malt,https://hedonism.co.uk/product/amrut-single-malt-whisky,50.3,2.0,3.0
2024-05-17,HED22205,Whitlaw 7 Year Old Carn Mor Strictly Limited 2014,https://hedonism.co.uk/product/whitlaw-7-year-old-carn-mor-strictly-limited-2014-whisky,46.0,2.0,1.0
2024-05-17,HED45143,Compass Box Orchard House,https://hedonism.co.uk/product/compass-box-orchard-house-whisky,45.5,6.0,1.0
2024-05-17,HED42045,Kingsbarns Bell Rock Single Malt,https://hedonism.co.uk/product/kingsbarns-bell-rock-single-malt-whisky,45.0,5.0,1.0
2024-05-17,HED79806,Fettercairn 12 Year Old,https://hedonism.co.uk/product/fettercairn-12-year-old-whisky,43.9,9.0,4.0
2024-05-17,HED50775,Lossit Archivists Selection,https://hedonism.co.uk/product/lossit-archivists-selection-whisky,40.66,3.0,1.0
2024-05-17,HED46707,Campbeltown Loch Blended,https://hedonism.co.uk/product/campbeltown-loch-blended-whisky,40.0,26.0,1.0
2024-05-17,HED6042,Johnnie Walker Black Label 12 Year Old,https://hedonism.co.uk/product/johnnie-walker-black-label-12-year-old-whisky,28.9,74.0,1.0
