import_date,code,title,url,price_gbp,availability,units_sold
2024-05-02,HED46865,Laphroaig 34 Year Old Ian Hunter Story Book 5,https://hedonism.co.uk/product/laphroaig-34-year-old-ian-hunter-story-book-5-whisky,1200.0,5.0,1.0
2024-05-02,HED46971,Talisker 25 Year Old Bottled 2015,https://hedonism.co.uk/product/talisker-25-year-old-bottled-2015-whisky,500.0,5.0,1.0
2024-05-02,HED93971,Macallan 18 Year Old Sherry Oak 2023 Release,https://hedonism.co.uk/product/macallan-18-year-old-sherry-oak-2023-release-whisky,395.0,144.0,3.0
2024-05-02,HED3176,Dalmore King Alexander III,https://hedonism.co.uk/product/dalmore-king-alexander-iii-whisky,250.0,31.0,4.0
2024-05-02,HED45666,Longrow Red 15 Year Old Pinot Noir Cask,https://hedonism.co.uk/product/longrow-red-15-year-old-pinot-noir-cask-whisky,250.0,1.0,1.0
2024-05-02,HED46741,Glenlivet 21 Year Old Sample Room,https://hedonism.co.uk/product/glenlivet-21-year-old-sample-room-whisky,250.0,7.0,1.0
2024-05-02,HED78687,Glenfiddich 23 Year Old Grand Cru,https://hedonism.co.uk/product/glenfiddich-23-year-old-grand-cru-whisky,242.0,4.0,1.0
2024-05-02,HED55995,Hibiki Blenders Choice,https://hedonism.co.uk/product/hibiki-blenders-choice-whisky,200.0,80.0,1.0
2024-05-02,HED46751,Hakushu 12 Year Old 100th Anniversary,https://hedonism.co.uk/product/hakushu-12-year-old-100th-anniversary-whisky,195.0,18.0,1.0
2024-05-02,HED00003,Linkwood 26 Year Old Cask Strength Collection Signatory 1997,https://hedonism.co.uk/product/linkwood-26-year-old-cask-strength-collection-signatory-1997-whisky,192.0,4.0,1.0
2024-05-02,HED22843,Aberlour 18 Year Old,https://hedonism.co.uk/product/aberlour-18-year-old-whisky,156.0,8.0,1.0
2024-05-02,HED21596,Kavalan Solist Port Cask 578,https://hedonism.co.uk/product/kavalan-solist-port-cask-578-whisky,139.0,2.0,1.0
2024-05-02,HED47096,Daftmill Summer Distillation 2011,https://hedonism.co.uk/product/daftmill-summer-distillation-2011-whisky,130.0,5.0,2.0
2024-05-02,HED6068,Glenlivet 18 Year Old,https://hedonism.co.uk/product/glenlivet-18-year-old-whisky,105.0,4.0,1.0
2024-05-02,HED8614,Compass Box Juveniles,https://hedonism.co.uk/product/compass-box-juveniles-whisky,94.5,1.0,1.0
2024-05-02,HED70117,Hibiki Japanese Harmony,https://hedonism.co.uk/product/hibiki-japanese-harmony-whisky,81.2,65.0,1.0
2024-05-02,HED86377,Compass Box Hedonism,https://hedonism.co.uk/product/compass-box-hedonism-whisky,77.0,8.0,2.0
2024-05-02,HED6046,Oban 14 Year Old,https://hedonism.co.uk/product/oban-14-year-old-whisky,75.0,3.0,2.0
2024-05-02,HED4706,Glenfarclas 15 Year Old,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky,73.0,28.0,1.0
2024-05-02,HED22655,Elements Islay Sherry Cask,https://hedonism.co.uk/product/elements-islay-sherry-cask-whisky,69.9,5.0,1.0
2024-05-02,HED72868,Akashi Single Malt,https://hedonism.co.uk/product/akashi-single-malt-whisky,68.4,7.0,1.0
2024-05-02,HED21780,Hearach Isle Harris Single Malt,https://hedonism.co.uk/product/hearach-isle-harris-single-malt-whisky,65.0,4.0,1.0
2024-05-02,HED6361,Johnnie Walker Gold Reserve,https://hedonism.co.uk/product/johnnie-walker-gold-reserve-whisky,45.9,5.0,1.0
2024-05-02,HED40543,Tomintoul Seiridh,https://hedonism.co.uk/product/tomintoul-seiridh-whisky,37.7,2.0,2.0
