import_date,code,title,url,price_gbp,availability,units_sold
2024-05-30,HED46646,Port Ellen 40 Year Old Eidolon Hunter Laing 1982,https://hedonism.co.uk/product/port-ellen-40-year-old-eidolon-hunter-laing-1982-whisky,4500.0,2.0,1.0
2024-05-30,HED46709,Macallan Rare Cask 2023 Release,https://hedonism.co.uk/product/macallan-rare-cask-2023-release-whisky,310.0,8.0,1.0
2024-05-30,HED46961,Glen Keith Connoisseurs Choice Gordon  MacPhail 1993,https://hedonism.co.uk/product/glen-keith-connoisseurs-choice-gordon--macphail-1993-whisky,200.0,3.0,1.0
2024-05-30,HED46751,Hakushu 12 Year Old 100th Anniversary,https://hedonism.co.uk/product/hakushu-12-year-old-100th-anniversary-whisky,195.0,16.0,1.0
2024-05-30,HED21597,Kavalan Solist Oloroso Sherry Cask 532,https://hedonism.co.uk/product/kavalan-solist-oloroso-sherry-cask-532-whisky,158.0,5.0,1.0
2024-05-30,HED64374,Bunnahabhain 18 Year Old,https://hedonism.co.uk/product/bunnahabhain-18-year-old-whisky,141.0,27.0,1.0
2024-05-30,HED77614,Old Pulteney 18 Year Old,https://hedonism.co.uk/product/old-pulteney-18-year-old-whisky,125.0,1.0,1.0
2024-05-30,HED6068,Glenlivet 18 Year Old,https://hedonism.co.uk/product/glenlivet-18-year-old-whisky,105.0,8.0,4.0
2024-05-30,HED70117,Hibiki Japanese Harmony,https://hedonism.co.uk/product/hibiki-japanese-harmony-whisky,81.2,39.0,1.0
2024-05-30,HED6052,Lagavulin 16 Year Old,https://hedonism.co.uk/product/lagavulin-16-year-old-whisky,78.0,62.0,2.0
2024-05-30,HED55812,Laphroaig 10 Year Old Cask Strength,https://hedonism.co.uk/product/laphroaig-10-year-old-cask-strength-whisky,70.0,11.0,1.0
2024-05-30,HED66115,Ardbeg Oa,https://hedonism.co.uk/product/ardbeg-oa-whisky,48.9,6.0,1.0
2024-05-30,HED43074,Yushan Bourbon Cask,https://hedonism.co.uk/product/yushan-bourbon-cask-whisky,48.4,2.0,1.0
2024-05-30,HED50134,Chivas Regal Mizunara,https://hedonism.co.uk/product/chivas-regal-mizunara-whisky,47.5,3.0,1.0
