import_date,code,title,url,price_gbp,availability,units_sold
2024-05-16,HED46754,Yamazaki 18 Year Old Mizunara 100th Anniversary,https://hedonism.co.uk/product/yamazaki-18-year-old-mizunara-100th-anniversary-whisky,1795.0,21.0,2.0
2024-05-16,HED79802,Dalmore 25 Year Old,https://hedonism.co.uk/product/dalmore-25-year-old-whisky,1070.0,9.0,6.0
2024-05-16,HED3161,Yamazaki 12 Year Old,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky,145.0,27.0,1.0
2024-05-16,HED46904,Glenfarclas 18 Year Old 100cl,https://hedonism.co.uk/product/glenfarclas-18-year-old-100cl-whisky,135.0,25.0,1.0
2024-05-16,HED21910,Glenlivet 17 Year Old Cask Strength Collection Signatory 2006,https://hedonism.co.uk/product/glenlivet-17-year-old-cask-strength-collection-signatory-2006-whisky,125.0,4.0,1.0
2024-05-16,HED2976,Macallan 12 Year Old Sherry Oak,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky,86.0,53.0,1.0
2024-05-16,HED70117,Hibiki Japanese Harmony,https://hedonism.co.uk/product/hibiki-japanese-harmony-whisky,81.2,51.0,1.0
2024-05-16,HED60281,Nikka Miyagikyo Single Malt,https://hedonism.co.uk/product/nikka-miyagikyo-single-malt-whisky,79.9,11.0,1.0
2024-05-16,HED26410,Deanston 12 Year Old Oloroso Cask 2008,https://hedonism.co.uk/product/deanston-12-year-old-oloroso-cask-2008-whisky,79.9,5.0,1.0
2024-05-16,HED60282,Nikka Yoichi Single Malt,https://hedonism.co.uk/product/nikka-yoichi-single-malt-whisky,77.7,13.0,1.0
2024-05-16,HED4706,Glenfarclas 15 Year Old,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky,73.0,25.0,1.0
2024-05-16,HED46881,Caol Ila Distillers Edition 2022 Release,https://hedonism.co.uk/product/caol-ila-distillers-edition-2022-release-whisky,69.9,2.0,6.0
2024-05-16,HED22248,Caol Ila Distillers Edition 2021 Release,https://hedonism.co.uk/product/caol-ila-distillers-edition-2021-release-whisky,65.0,2.0,1.0
2024-05-16,HED45067,Highland Park Cask Strength Release 2,https://hedonism.co.uk/product/highland-park-cask-strength-release-2-whisky,56.9,10.0,1.0
2024-05-16,HED8031,Caol Ila 12 Year Old,https://hedonism.co.uk/product/caol-ila-12-year-old-whisky,49.6,18.0,1.0
2024-05-16,HED4303,Glendronach 12 Year Old,https://hedonism.co.uk/product/glendronach-12-year-old-whisky,48.2,23.0,1.0
2024-05-16,HED8515,Bunnahabhain 12 Year Old,https://hedonism.co.uk/product/bunnahabhain-12-year-old-whisky,44.0,14.0,1.0
2024-05-16,HED7232,Benromach 10 Year Old,https://hedonism.co.uk/product/benromach-10-year-old-whisky,42.0,8.0,1.0
2024-05-16,HED6042,Johnnie Walker Black Label 12 Year Old,https://hedonism.co.uk/product/johnnie-walker-black-label-12-year-old-whisky,28.9,75.0,1.0
