import_date,code,title,url,price_gbp,availability,units_sold
2024-04-29,HED21763,BenRiach 39 Year Old Cask 5462 Batch 13 1976,https://hedonism.co.uk/product/benriach-39-year-old-cask-5462-batch-13-1976-whisky,1195.0,2.0,1.0
2024-04-29,HED7047,Hibiki 21 Year Old,https://hedonism.co.uk/product/hibiki-21-year-old-whisky,950.0,30.0,1.0
2024-04-29,HED3162,Yamazaki 18 Year Old,https://hedonism.co.uk/product/yamazaki-18-year-old-whisky,850.0,13.0,3.0
2024-04-29,HED2832,Nikka Taketsuru 21 Year Old Pure Malt,https://hedonism.co.uk/product/nikka-taketsuru-21-year-old-pure-malt-whisky,700.0,16.0,1.0
2024-04-29,HED46850,Yamazaki Limited Edition 2023,https://hedonism.co.uk/product/yamazaki-limited-edition-2023-whisky,475.0,21.0,1.0
2024-04-29,HED21808,Auchentoshan 25 Year Old Old Malt Cask 25th Anniversary Hunter Laing 1998,https://hedonism.co.uk/product/auchentoshan-25-year-old-old-malt-cask-25th-anniversary-hunter-laing-1998-whisky,300.0,5.0,1.0
2024-04-29,HED46903,Glenfarclas 26 Year Old Oloroso Sherry Finish,https://hedonism.co.uk/product/glenfarclas-26-year-old-oloroso-sherry-finish-whisky,240.0,39.0,4.0
2024-04-29,HED14607,Glenfarclas 25 Year Old,https://hedonism.co.uk/product/glenfarclas-25-year-old-whisky,225.0,12.0,2.0
2024-04-29,HED55995,Hibiki Blenders Choice,https://hedonism.co.uk/product/hibiki-blenders-choice-whisky,200.0,78.0,4.0
2024-04-29,HED46862,Macallan Classic Cut 2022 Release,https://hedonism.co.uk/product/macallan-classic-cut-2022-release-whisky,199.0,25.0,1.0
2024-04-29,HED81755,Bruichladdich Octomore 61 Scottish Barley,https://hedonism.co.uk/product/bruichladdich-octomore-61-scottish-barley-whisky,195.0,1.0,1.0
2024-04-29,HED7701,Glendronach 18 Year Old Allardice,https://hedonism.co.uk/product/glendronach-18-year-old-allardice-whisky,178.0,46.0,7.0
2024-04-29,HED6043,Johnnie Walker Blue Label,https://hedonism.co.uk/product/johnnie-walker-blue-label-whisky,174.0,286.0,2.0
2024-04-29,HED45988,Glenrothes 18 Year Old,https://hedonism.co.uk/product/glenrothes-18-year-old-whisky,159.0,4.0,2.0
2024-04-29,HED21597,Kavalan Solist Oloroso Sherry Cask 532,https://hedonism.co.uk/product/kavalan-solist-oloroso-sherry-cask-532-whisky,158.0,7.0,1.0
2024-04-29,HED46827,Bruichladdich Octomore 141,https://hedonism.co.uk/product/bruichladdich-octomore-141-whisky,150.0,1.0,1.0
2024-04-29,HED3161,Yamazaki 12 Year Old,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky,145.0,25.0,1.0
2024-04-29,HED40140,Macallan 15 Year Old Double Cask,https://hedonism.co.uk/product/macallan-15-year-old-double-cask-whisky,145.0,18.0,3.0
2024-04-29,HED46946,Nikka Yoichi 10 Year Old,https://hedonism.co.uk/product/nikka-yoichi-10-year-old-whisky,145.0,1.0,1.0
2024-04-29,HED64374,Bunnahabhain 18 Year Old,https://hedonism.co.uk/product/bunnahabhain-18-year-old-whisky,141.0,28.0,4.0
2024-04-29,HED46904,Glenfarclas 18 Year Old 100cl,https://hedonism.co.uk/product/glenfarclas-18-year-old-100cl-whisky,135.0,26.0,2.0
2024-04-29,HED45299,Lagavulin 12 Year Old Special Release 2021,https://hedonism.co.uk/product/lagavulin-12-year-old-special-release-2021-whisky,128.0,6.0,3.0
2024-04-29,HED40028,Kurayoshi Sherry Cask,https://hedonism.co.uk/product/kurayoshi-sherry-cask-whisky,115.0,8.0,1.0
2024-04-29,HED51227,Mortlach 16 Year Old,https://hedonism.co.uk/product/mortlach-16-year-old-whisky,105.0,9.0,4.0
2024-04-29,HED45953,Port Charlotte SC 01 2012,https://hedonism.co.uk/product/port-charlotte-sc-01-2012-whisky,98.9,4.0,3.0
2024-04-29,HED2976,Macallan 12 Year Old Sherry Oak,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky,86.0,58.0,3.0
2024-04-29,HED46913,Isle Raasay Single Malt Dun Cana,https://hedonism.co.uk/product/isle-raasay-single-malt-dun-cana-whisky,85.0,2.0,1.0
2024-04-29,HED14691,Glenfarclas 105 Cask Strength,https://hedonism.co.uk/product/glenfarclas-105-cask-strength-whisky,73.0,11.0,1.0
2024-04-29,HED4706,Glenfarclas 15 Year Old,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky,73.0,27.0,2.0
2024-04-29,HED55812,Laphroaig 10 Year Old Cask Strength,https://hedonism.co.uk/product/laphroaig-10-year-old-cask-strength-whisky,70.0,12.0,1.0
