import_date,code,title,url,price_gbp,availability,units_sold
2024-04-23,HED57964,Port Ellen 40 Year Old 9 Rogue Casks,https://hedonism.co.uk/product/port-ellen-40-year-old-9-rogue-casks-whisky,6500.0,1.0,1.0
2024-04-23,HED46967,Mortlach Private Collection Gordon  Macphail Bottled 2020 1974,https://hedonism.co.uk/product/mortlach-private-collection-gordon--macphail-bottled-2020-1974-whisky,3450.0,1.0,1.0
2024-04-23,HED7706,Glen Grant 50 Year Old First Fill Sherry Gordon  MacPhail Bottled 2014 1963,https://hedonism.co.uk/product/glen-grant-50-year-old-first-fill-sherry-gordon--macphail-bottled-2014-1963-whisky,1980.0,1.0,1.0
2024-04-23,HED21183,Glenturret 30 Year Old 2023 Release,https://hedonism.co.uk/product/glenturret-30-year-old-2023-release-whisky,1980.0,2.0,1.0
2024-04-23,HED21701,Glendronach 30 Year Old PX Single Cask 1993,https://hedonism.co.uk/product/glendronach-30-year-old-px-single-cask-1993-whisky,1085.0,23.0,1.0
2024-04-23,HED32405,Ardbeg 25 Year Old,https://hedonism.co.uk/product/ardbeg-25-year-old-whisky,990.0,9.0,1.0
2024-04-23,HED66493,Ardbeg 23 Year Old Twenty Something Committee Release,https://hedonism.co.uk/product/ardbeg-23-year-old-twenty-something-committee-release-whisky,690.0,1.0,1.0
2024-04-23,HED47108,Wildmoor 30YO Savage Coast,https://hedonism.co.uk/product/wildmoor-30yo-savage-coast-whisky,550.0,3.0,3.0
2024-04-23,HED45927,Talisker 25 Year Old,https://hedonism.co.uk/product/talisker-25-year-old-whisky,460.0,11.0,2.0
2024-04-23,HED47035,Chichibu Red Wine Cask 2023 Release,https://hedonism.co.uk/product/chichibu-red-wine-cask-2023-release-whisky,430.0,1.0,1.0
2024-04-23,HED51228,Mortlach 20 Year Old,https://hedonism.co.uk/product/mortlach-20-year-old-whisky,285.0,1.0,3.0
2024-04-23,HED46809,Ardbeg 19 Year Old Traigh Bhan Batch Five,https://hedonism.co.uk/product/ardbeg-19-year-old-traigh-bhan-batch-five-whisky,261.0,10.0,4.0
2024-04-23,HED3110,Balvenie 21 Year Old Portwood,https://hedonism.co.uk/product/balvenie-21-year-old-portwood-whisky,243.0,3.0,2.0
2024-04-23,HED14607,Glenfarclas 25 Year Old,https://hedonism.co.uk/product/glenfarclas-25-year-old-whisky,225.0,14.0,2.0
2024-04-23,HED4505,Glengoyne 21 Year Old,https://hedonism.co.uk/product/glengoyne-21-year-old-whisky,213.0,19.0,12.0
2024-04-23,HED46753,Yamazaki 12 Year Old 100th Anniversary,https://hedonism.co.uk/product/yamazaki-12-year-old-100th-anniversary-whisky,199.0,32.0,2.0
2024-04-23,HED3157,Hakushu 12 Year Old,https://hedonism.co.uk/product/hakushu-12-year-old-whisky,185.0,61.0,2.0
2024-04-23,HED47106,Wildmoor 23YO Ancient Moorland,https://hedonism.co.uk/product/wildmoor-23yo-ancient-moorland-whisky,185.0,3.0,3.0
2024-04-23,HED7701,Glendronach 18 Year Old Allardice,https://hedonism.co.uk/product/glendronach-18-year-old-allardice-whisky,178.0,57.0,3.0
2024-04-23,HED6043,Johnnie Walker Blue Label,https://hedonism.co.uk/product/johnnie-walker-blue-label-whisky,174.0,287.0,3.0
2024-04-23,HED21416,Undisclosed Orkney Highland Park 24 Year Old Infrequent Flyers 1999,https://hedonism.co.uk/product/undisclosed-orkney-highland-park-24-year-old-infrequent-flyers-1999-whisky,162.0,6.0,2.0
2024-04-23,HED45988,Glenrothes 18 Year Old,https://hedonism.co.uk/product/glenrothes-18-year-old-whisky,159.0,4.0,3.0
2024-04-23,HED46915,Compass Box Art  Decadence,https://hedonism.co.uk/product/compass-box-art--decadence-whisky,150.0,7.0,1.0
2024-04-23,HED64374,Bunnahabhain 18 Year Old,https://hedonism.co.uk/product/bunnahabhain-18-year-old-whisky,141.0,32.0,2.0
2024-04-23,HED46596,Compass Box Hedonism² Exclusive Hedonism Wines,https://hedonism.co.uk/product/compass-box-hedonism²-exclusive-hedonism-wines-whisky,140.0,301.0,1.0
2024-04-23,HED40835,Benromach 21 Year Old,https://hedonism.co.uk/product/benromach-21-year-old-whisky,135.0,7.0,1.0
2024-04-23,HED21504,Westport 17 Year Old Whisky Sponge Edition No 83,https://hedonism.co.uk/product/westport-17-year-old-whisky-sponge-edition-no-83-whisky,115.0,1.0,1.0
2024-04-23,HED3093,Glenmorangie 18 Year Old Extremely Rare,https://hedonism.co.uk/product/glenmorangie-18-year-old-extremely-rare-whisky,105.0,4.0,3.0
2024-04-23,HED21419,Mannochmore 15 Year Old Infrequent Flyers 2008,https://hedonism.co.uk/product/mannochmore-15-year-old-infrequent-flyers-2008-whisky,88.0,7.0,1.0
2024-04-23,HED21420,Deanston 13 Year Old Infrequent Flyers 2009,https://hedonism.co.uk/product/deanston-13-year-old-infrequent-flyers-2009-whisky,84.0,3.0,1.0
2024-04-23,HED22220,Oban Distillers Edition 2021 Release 2007,https://hedonism.co.uk/product/oban-distillers-edition-2021-release-2007-whisky,81.7,6.0,3.0
