import_date,code,title,url,price_gbp,availability,units_sold
2024-04-27,HED46754,Yamazaki 18 Year Old Mizunara 100th Anniversary,https://hedonism.co.uk/product/yamazaki-18-year-old-mizunara-100th-anniversary-whisky,1795.0,24.0,1.0
2024-04-27,HED79802,Dalmore 25 Year Old,https://hedonism.co.uk/product/dalmore-25-year-old-whisky,1070.0,15.0,12.0
2024-04-27,HED40874,Glenfiddich 26 Year Old Grande Couronne,https://hedonism.co.uk/product/glenfiddich-26-year-old-grande-couronne-whisky,525.0,3.0,1.0
2024-04-27,HED40141,Macallan 18 Year Old Double Cask,https://hedonism.co.uk/product/macallan-18-year-old-double-cask-whisky,310.0,14.0,1.0
2024-04-27,HED0084,Caol Ila 25 Year Old,https://hedonism.co.uk/product/caol-ila-25-year-old-whisky,295.0,14.0,2.0
2024-04-27,HED46903,Glenfarclas 26 Year Old Oloroso Sherry Finish,https://hedonism.co.uk/product/glenfarclas-26-year-old-oloroso-sherry-finish-whisky,240.0,44.0,2.0
2024-04-27,HED7701,Glendronach 18 Year Old Allardice,https://hedonism.co.uk/product/glendronach-18-year-old-allardice-whisky,178.0,53.0,6.0
2024-04-27,HED3161,Yamazaki 12 Year Old,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky,145.0,32.0,1.0
2024-04-27,HED10514,Aberlour 16 Year Old,https://hedonism.co.uk/product/aberlour-16-year-old-whisky,110.0,3.0,1.0
2024-04-27,HED3093,Glenmorangie 18 Year Old Extremely Rare,https://hedonism.co.uk/product/glenmorangie-18-year-old-extremely-rare-whisky,105.0,5.0,1.0
2024-04-27,HED2976,Macallan 12 Year Old Sherry Oak,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky,86.0,61.0,1.0
2024-04-27,HED60281,Nikka Miyagikyo Single Malt,https://hedonism.co.uk/product/nikka-miyagikyo-single-malt-whisky,79.9,12.0,1.0
2024-04-27,HED23161,Glendronach Cask Strength Batch 11,https://hedonism.co.uk/product/glendronach-cask-strength-batch-11-whisky,79.5,3.0,1.0
2024-04-27,HED86657,Yamazaki Distillers Reserve,https://hedonism.co.uk/product/yamazaki-distillers-reserve-whisky,79.0,30.0,1.0
2024-04-27,HED45943,Ardbeg Ardcore,https://hedonism.co.uk/product/ardbeg-ardcore-whisky,75.0,11.0,1.0
2024-04-27,HED4706,Glenfarclas 15 Year Old,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky,73.0,30.0,1.0
2024-04-27,HED3088,Ardbeg Corryvreckan,https://hedonism.co.uk/product/ardbeg-corryvreckan-whisky,72.5,3.0,1.0
2024-04-27,HED8024,Balvenie 14 Year Old Caribbean Cask,https://hedonism.co.uk/product/balvenie-14-year-old-caribbean-cask-whisky,65.9,7.0,1.0
2024-04-27,HED47029,Ardbeg 8 Year Old,https://hedonism.co.uk/product/ardbeg-8-year-old-whisky,60.0,21.0,1.0
2024-04-27,HED47127,GlenAllachie 9 Year Old Oloroso Sherry Cask,https://hedonism.co.uk/product/glenallachie-9-year-old-oloroso-sherry-cask-whisky,60.0,4.0,1.0
2024-04-27,HED81831,Glengoyne 21 Year Old 20cl,https://hedonism.co.uk/product/glengoyne-21-year-old-20cl-whisky,59.9,14.0,1.0
2024-04-27,HED3172,Dalmore 12 Year Old,https://hedonism.co.uk/product/dalmore-12-year-old-whisky,56.9,10.0,1.0
2024-04-27,HED45086,Isle Raasay Single Malt,https://hedonism.co.uk/product/isle-raasay-single-malt-whisky,54.9,12.0,1.0
2024-04-27,HED22124,Broger 6 Year Old Batch 1 TBWC,https://hedonism.co.uk/product/broger-6-year-old-batch-1-tbwc-whisky,51.0,2.0,1.0
2024-04-27,HED82604,Balvenie 12 Year Old Doublewood,https://hedonism.co.uk/product/balvenie-12-year-old-doublewood-whisky,49.2,12.0,2.0
2024-04-27,HED21042,Ben Nevis 8 Year Old UnChillfiltered Collection Signatory 2014,https://hedonism.co.uk/product/ben-nevis-8-year-old-unchillfiltered-collection-signatory-2014-whisky,48.0,5.0,1.0
2024-04-27,HED2903,Nikka Barrel,https://hedonism.co.uk/product/nikka-barrel-whisky,45.9,40.0,1.0
2024-04-27,HED46766,Cnoc Sherry Cask Finish,https://hedonism.co.uk/product/cnoc-sherry-cask-finish-whisky,45.9,3.0,1.0
2024-04-27,HED53436,Ledaig 10 Year Old,https://hedonism.co.uk/product/ledaig-10-year-old-whisky,42.5,6.0,1.0
2024-04-27,HED4690,Glenfarclas 10 Year Old,https://hedonism.co.uk/product/glenfarclas-10-year-old-whisky,41.2,6.0,1.0
2024-04-27,HED82531,Akashi Blend,https://hedonism.co.uk/product/akashi-blend-whisky,35.2,2.0,2.0
2024-04-27,HED6042,Johnnie Walker Black Label 12 Year Old,https://hedonism.co.uk/product/johnnie-walker-black-label-12-year-old-whisky,28.9,21.0,1.0
2024-04-27,HED79393,Balvenie 12 Year Old Doublewood 20cl,https://hedonism.co.uk/product/balvenie-12-year-old-doublewood-20cl-whisky,19.7,5.0,1.0
