import_date,code,title,url,price_gbp,availability,units_sold
2024-05-05,HED47001,Yamazaki Smoky Batch First,https://hedonism.co.uk/product/yamazaki-smoky-batch-first-whisky,520.0,19.0,1.0
2024-05-05,HED40141,Macallan 18 Year Old Double Cask,https://hedonism.co.uk/product/macallan-18-year-old-double-cask-whisky,310.0,12.0,1.0
2024-05-05,HED3110,Balvenie 21 Year Old Portwood,https://hedonism.co.uk/product/balvenie-21-year-old-portwood-whisky,243.0,15.0,1.0
2024-05-05,HED21593,Kavalan Solist Vinho Barrique 571,https://hedonism.co.uk/product/kavalan-solist-vinho-barrique-571-whisky,215.0,6.0,1.0
2024-05-05,HED21043,Benrinnes 26 Year Old Cask Strength Collection Signatory 1996,https://hedonism.co.uk/product/benrinnes-26-year-old-cask-strength-collection-signatory-1996-whisky,191.0,2.0,1.0
2024-05-05,HED47106,Wildmoor 23YO Ancient Moorland,https://hedonism.co.uk/product/wildmoor-23yo-ancient-moorland-whisky,185.0,5.0,1.0
2024-05-05,HED46472,Bruichladdich Octomore 102,https://hedonism.co.uk/product/bruichladdich-octomore-102-whisky,149.0,4.0,1.0
2024-05-05,HED3161,Yamazaki 12 Year Old,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky,145.0,30.0,1.0
2024-05-05,HED21910,Glenlivet 17 Year Old Cask Strength Collection Signatory 2006,https://hedonism.co.uk/product/glenlivet-17-year-old-cask-strength-collection-signatory-2006-whisky,125.0,5.0,1.0
2024-05-05,HED51227,Mortlach 16 Year Old,https://hedonism.co.uk/product/mortlach-16-year-old-whisky,105.0,23.0,1.0
2024-05-05,HED3173,Dalmore 15 Year Old,https://hedonism.co.uk/product/dalmore-15-year-old-whisky,103.0,4.0,1.0
2024-05-05,HED45673,Mars Maltage Cosmo Manzanilla Cask Finish,https://hedonism.co.uk/product/mars-maltage-cosmo-manzanilla-cask-finish-whisky,92.5,5.0,1.0
2024-05-05,HED7560,Kavalan King Car Conductor,https://hedonism.co.uk/product/kavalan-king-car-conductor-whisky,86.5,2.0,1.0
2024-05-05,HED61388,Macallan 12 Year Old Double Cask,https://hedonism.co.uk/product/macallan-12-year-old-double-cask-whisky,77.0,34.0,1.0
2024-05-05,HED46670,Benrinnes 11 Year Old Adelphi Exclusive Hedonism Wines 2011,https://hedonism.co.uk/product/benrinnes-11-year-old-adelphi-exclusive-hedonism-wines-2011-whisky,69.9,8.0,1.0
2024-05-05,HED69408,Port Charlotte 10 Year Old,https://hedonism.co.uk/product/port-charlotte-10-year-old-whisky,58.0,9.0,1.0
2024-05-05,HED78153,Kavalan Distillery Select,https://hedonism.co.uk/product/kavalan-distillery-select-whisky,58.0,4.0,1.0
2024-05-05,HED3172,Dalmore 12 Year Old,https://hedonism.co.uk/product/dalmore-12-year-old-whisky,56.9,5.0,1.0
2024-05-05,HED45086,Isle Raasay Single Malt,https://hedonism.co.uk/product/isle-raasay-single-malt-whisky,54.9,9.0,2.0
2024-05-05,HED22637,Loch Lomond 14 Year Old,https://hedonism.co.uk/product/loch-lomond-14-year-old-whisky,54.5,3.0,1.0
2024-05-05,HED74503,Glenlivet Founders Reserve,https://hedonism.co.uk/product/glenlivet-founders-reserve-whisky,36.9,2.0,1.0
