import_date,code,title,url,price_gbp,availability,units_sold
2024-05-11,HED45989,Hibiki 30 Year Old,https://hedonism.co.uk/product/hibiki-30-year-old-whisky,6995.0,1.0,4.0
2024-05-11,HED3418,Port Ellen 28 Year Old 7th Release Bottled 2007 1979,https://hedonism.co.uk/product/port-ellen-28-year-old-7th-release-bottled-2007-1979-whisky,2800.0,1.0,1.0
2024-05-11,HED40141,Macallan 18 Year Old Double Cask,https://hedonism.co.uk/product/macallan-18-year-old-double-cask-whisky,310.0,9.0,2.0
2024-05-11,HED4305,Glendronach 21 Year Old Parliament,https://hedonism.co.uk/product/glendronach-21-year-old-parliament-whisky,225.0,51.0,1.0
2024-05-11,HED21064,Speyside 18 Year Old M Cask Strength Collection Signatory 2005,https://hedonism.co.uk/product/speyside-18-year-old-m-cask-strength-collection-signatory-2005-whisky,212.0,35.0,1.0
2024-05-11,HED79808,Fettercairn 22 Year Old,https://hedonism.co.uk/product/fettercairn-22-year-old-whisky,205.0,11.0,1.0
2024-05-11,HED47106,Wildmoor 23YO Ancient Moorland,https://hedonism.co.uk/product/wildmoor-23yo-ancient-moorland-whisky,185.0,4.0,1.0
2024-05-11,HED7701,Glendronach 18 Year Old Allardice,https://hedonism.co.uk/product/glendronach-18-year-old-allardice-whisky,178.0,50.0,1.0
2024-05-11,HED3116,Glenfiddich 21 Year Gran Reserva,https://hedonism.co.uk/product/glenfiddich-21-year-gran-reserva-whisky,175.0,7.0,1.0
2024-05-11,HED6043,Johnnie Walker Blue Label,https://hedonism.co.uk/product/johnnie-walker-blue-label-whisky,174.0,284.0,1.0
2024-05-11,HED46596,Compass Box Hedonism² Exclusive Hedonism Wines,https://hedonism.co.uk/product/compass-box-hedonism²-exclusive-hedonism-wines-whisky,140.0,292.0,3.0
2024-05-11,HED3093,Glenmorangie 18 Year Old Extremely Rare,https://hedonism.co.uk/product/glenmorangie-18-year-old-extremely-rare-whisky,105.0,3.0,1.0
2024-05-11,HED6068,Glenlivet 18 Year Old,https://hedonism.co.uk/product/glenlivet-18-year-old-whisky,105.0,15.0,1.0
2024-05-11,HED46806,Isle Raasay Scotch Whisky Distillery Year Release,https://hedonism.co.uk/product/isle-raasay-scotch-whisky-distillery-year-release-whisky,90.0,1.0,1.0
2024-05-11,HED10022,Cardhu 18 Year Old,https://hedonism.co.uk/product/cardhu-18-year-old-whisky,82.3,6.0,1.0
2024-05-11,HED70117,Hibiki Japanese Harmony,https://hedonism.co.uk/product/hibiki-japanese-harmony-whisky,81.2,49.0,1.0
2024-05-11,HED51274,Glendronach 15 Year Old Revival,https://hedonism.co.uk/product/glendronach-15-year-old-revival-whisky,78.5,49.0,1.0
2024-05-11,HED61388,Macallan 12 Year Old Double Cask,https://hedonism.co.uk/product/macallan-12-year-old-double-cask-whisky,77.0,21.0,6.0
2024-05-11,HED4706,Glenfarclas 15 Year Old,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky,73.0,26.0,1.0
2024-05-11,HED21627,Port Askaig Cask Strength Batch 001,https://hedonism.co.uk/product/port-askaig-cask-strength-batch-001-whisky,68.0,9.0,3.0
2024-05-11,HED21264,Fettercairn Warehouse 14,https://hedonism.co.uk/product/fettercairn-warehouse-14-whisky,66.7,6.0,1.0
2024-05-11,HED8024,Balvenie 14 Year Old Caribbean Cask,https://hedonism.co.uk/product/balvenie-14-year-old-caribbean-cask-whisky,65.9,22.0,1.0
2024-05-11,HED21050,Edradour 10 Year Old UnChillfiltered Collection Signatory 2013,https://hedonism.co.uk/product/edradour-10-year-old-unchillfiltered-collection-signatory-2013-whisky,60.5,3.0,2.0
2024-05-11,HED44057,Torabhaig Legacy Series Allt Gleann,https://hedonism.co.uk/product/torabhaig-legacy-series-allt-gleann-whisky,50.0,10.0,1.0
2024-05-11,HED82604,Balvenie 12 Year Old Doublewood,https://hedonism.co.uk/product/balvenie-12-year-old-doublewood-whisky,49.2,11.0,1.0
2024-05-11,HED45170,Benriach 12 Year Old Twelve,https://hedonism.co.uk/product/benriach-12-year-old-twelve-whisky,44.3,6.0,1.0
