import_date,code,title,url,price_gbp,availability,units_sold
2024-06-02,HED7047,Hibiki 21 Year Old,https://hedonism.co.uk/product/hibiki-21-year-old-whisky,950.0,21.0,1.0
2024-06-02,HED3158,Hibiki 17 Year Old,https://hedonism.co.uk/product/hibiki-17-year-old-whisky,795.0,47.0,1.0
2024-06-02,HED46185,Springbank 21 Year Old 2022 Release,https://hedonism.co.uk/product/springbank-21-year-old-2022-release-whisky,795.0,2.0,1.0
2024-06-02,HED44091,Balvenie 25 Year Old,https://hedonism.co.uk/product/balvenie-25-year-old-whisky,670.0,3.0,1.0
2024-06-02,HED46981,Laphroaig 17 Year Old Octave Duncan Taylor 2004,https://hedonism.co.uk/product/laphroaig-17-year-old-octave-duncan-taylor-2004-whisky,410.0,1.0,1.0
2024-06-02,HED51228,Mortlach 20 Year Old,https://hedonism.co.uk/product/mortlach-20-year-old-whisky,285.0,7.0,1.0
2024-06-02,HED46828,Bruichladdich Octomore 142,https://hedonism.co.uk/product/bruichladdich-octomore-142-whisky,160.0,6.0,1.0
2024-06-02,HED40140,Macallan 15 Year Old Double Cask,https://hedonism.co.uk/product/macallan-15-year-old-double-cask-whisky,145.0,14.0,1.0
2024-06-02,HED46991,Macallan Night Earth Journey,https://hedonism.co.uk/product/macallan-night-earth-journey-whisky,105.0,77.0,1.0
2024-06-02,HED22916,Annandale Man OSword Sherry Cask 2015,https://hedonism.co.uk/product/annandale-man-osword-sherry-cask-2015-whisky,97.0,2.0,1.0
2024-06-02,HED47162,NcNean AON 18443 Single Cask,https://hedonism.co.uk/product/ncnean-aon-18443-single-cask-whisky,94.0,5.0,1.0
2024-06-02,HED21696,Craigellachie 10 Year Old Margaux Cask Finish Berry Brothers 2013,https://hedonism.co.uk/product/craigellachie-10-year-old-margaux-cask-finish-berry-brothers-2013-whisky,90.0,5.0,1.0
2024-06-02,HED2976,Macallan 12 Year Old Sherry Oak,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky,86.0,40.0,2.0
2024-06-02,HED46587,Annandale 7 Year Old North Star 2015,https://hedonism.co.uk/product/annandale-7-year-old-north-star-2015-whisky,84.9,5.0,1.0
2024-06-02,HED22917,Annandale Man OWords Bourbon Cask 2015,https://hedonism.co.uk/product/annandale-man-owords-bourbon-cask-2015-whisky,82.0,3.0,1.0
2024-06-02,HED70117,Hibiki Japanese Harmony,https://hedonism.co.uk/product/hibiki-japanese-harmony-whisky,81.2,36.0,1.0
2024-06-02,HED6052,Lagavulin 16 Year Old,https://hedonism.co.uk/product/lagavulin-16-year-old-whisky,78.0,48.0,1.0
2024-06-02,HED21944,Ardnahoe 5 Year Old Inaugural Release,https://hedonism.co.uk/product/ardnahoe-5-year-old-inaugural-release-whisky,70.0,97.0,1.0
2024-06-02,HED87190,Hakushu Distillers Reserve,https://hedonism.co.uk/product/hakushu-distillers-reserve-whisky,69.9,61.0,1.0
2024-06-02,HED8024,Balvenie 14 Year Old Caribbean Cask,https://hedonism.co.uk/product/balvenie-14-year-old-caribbean-cask-whisky,65.9,17.0,1.0
2024-06-02,HED8043,Johnnie Walker Blue Label 20cl,https://hedonism.co.uk/product/johnnie-walker-blue-label-20cl-whisky,65.0,15.0,1.0
2024-06-02,HED21177,Glenturret Triple Wood 2023 Release,https://hedonism.co.uk/product/glenturret-triple-wood-2023-release-whisky,62.0,5.0,1.0
2024-06-02,HED51226,Mortlach 12 Year Old,https://hedonism.co.uk/product/mortlach-12-year-old-whisky,58.9,9.0,1.0
2024-06-02,HED47169,Ardnamurchan Midgie,https://hedonism.co.uk/product/ardnamurchan-midgie-whisky,52.0,29.0,1.0
2024-06-02,HED21092,Glasgow 1770 Original,https://hedonism.co.uk/product/glasgow-1770-original-whisky,46.5,1.0,2.0
2024-06-02,HED34035,Lot 40 Rye,https://hedonism.co.uk/product/lot-40-rye-whisky,39.0,4.0,1.0
2024-06-02,HED6042,Johnnie Walker Black Label 12 Year Old,https://hedonism.co.uk/product/johnnie-walker-black-label-12-year-old-whisky,28.9,48.0,2.0
