import_date,code,title,url,price_gbp,availability,units_sold
2024-05-09,HED46807,Macallan 30 Year Old Sherry Oak 2023 Release,https://hedonism.co.uk/product/macallan-30-year-old-sherry-oak-2023-release-whisky,5250.0,30.0,1.0
2024-05-09,HED7047,Hibiki 21 Year Old,https://hedonism.co.uk/product/hibiki-21-year-old-whisky,950.0,28.0,1.0
2024-05-09,HED46850,Yamazaki Limited Edition 2023,https://hedonism.co.uk/product/yamazaki-limited-edition-2023-whisky,475.0,20.0,1.0
2024-05-09,HED40800,Benriach 25 Year Old Twenty Five,https://hedonism.co.uk/product/benriach-25-year-old-twenty-five-whisky,320.0,12.0,1.0
2024-05-09,HED46627,Compass Box Delos,https://hedonism.co.uk/product/compass-box-delos-whisky,260.0,8.0,1.0
2024-05-09,HED21594,Kavalan Solist Peated 54,https://hedonism.co.uk/product/kavalan-solist-peated-54-whisky,180.0,11.0,1.0
2024-05-09,HED7701,Glendronach 18 Year Old Allardice,https://hedonism.co.uk/product/glendronach-18-year-old-allardice-whisky,178.0,51.0,1.0
2024-05-09,HED46596,Compass Box Hedonism² Exclusive Hedonism Wines,https://hedonism.co.uk/product/compass-box-hedonism²-exclusive-hedonism-wines-whisky,140.0,296.0,1.0
2024-05-09,HED21814,Dumbarton 26 Year Old Infrequent Flyers 1997,https://hedonism.co.uk/product/dumbarton-26-year-old-infrequent-flyers-1997-whisky,137.0,5.0,1.0
2024-05-09,HED53970,Glen Grant 18 Year Old,https://hedonism.co.uk/product/glen-grant-18-year-old-whisky,118.0,6.0,1.0
2024-05-09,HED3115,Glenfiddich 18 Year Old,https://hedonism.co.uk/product/glenfiddich-18-year-old-whisky,102.0,29.0,1.0
2024-05-09,HED61388,Macallan 12 Year Old Double Cask,https://hedonism.co.uk/product/macallan-12-year-old-double-cask-whisky,77.0,27.0,2.0
2024-05-09,HED89860,Nikka Coffey Malt,https://hedonism.co.uk/product/nikka-coffey-malt-whisky,62.7,7.0,1.0
2024-05-09,HED22290,Islay 7 Year Old Batch 2 GreatDrams 2013,https://hedonism.co.uk/product/islay-7-year-old-batch-2-greatdrams-2013-whisky,62.0,3.0,2.0
2024-05-09,HED47128,GlenAllachie 9 Year Old Fino Sherry Cask,https://hedonism.co.uk/product/glenallachie-9-year-old-fino-sherry-cask-whisky,60.0,5.0,1.0
2024-05-09,HED46542,Glen Scotia Double Cask Rum Finish,https://hedonism.co.uk/product/glen-scotia-double-cask-rum-finish-whisky,48.9,4.0,1.0
2024-05-09,HED6361,Johnnie Walker Gold Reserve,https://hedonism.co.uk/product/johnnie-walker-gold-reserve-whisky,45.9,2.0,2.0
2024-05-09,HED45478,Glen Grant 10 Year Old,https://hedonism.co.uk/product/glen-grant-10-year-old-whisky,34.9,1.0,1.0
2024-05-09,HED22635,Loch Lomond Original,https://hedonism.co.uk/product/loch-lomond-original-whisky,26.5,5.0,1.0
