Code,Title,Size,Style,Country,Group,Available,Price (GBP)
HED10238,Ducastaing Armagnac Bernard VII,75cl,Spirits,France,Armagnac,3,190.0
HED10241,Marc de Bourgogne Heritiers Guyot,75cl,Spirits,France,Brandy,1,160.0
HED10266,Briottet Liqueur de Rhubarb,70cl,Spirits,France,"Liqueurs, Bitters & Other",2,23.0
HED10323,Lagavulin 21 Year Old Cask Stength 1985,70cl,Spirits,Scotland,Whisky,1,3995.0
HED10372,CLIX Vodka    ,75cl,Spirits,United States,Vodka,29,384.0
HED10373,Colonel EH Taylor Small Batch    ,75cl,Spirits,United States,Whiskey,84,95.0
HED10381,Gin Mare,70cl,Spirits,Spain,Gin,5,45.0
HED10382,Redbreast 15 Year Old,70cl,Spirits,Ireland,Whiskey,6,84.9
HED10471,Shochikubai Shirakabegura Mio Sparkling Sake,30cl,Spirits,Japan,Sake,22,12.1
HED10472,Shochikubai Shirakabegura Daiginjo Muroka Genshu,64cl,Spirits,Japan,Sake,17,34.9
HED10506,St Germain Elderflower Liqueur    ,70cl,Spirits,France,"Liqueurs, Bitters & Other",13,31.6
HED10514,Aberlour 16 Year Old    ,70cl,Spirits,Scotland,Whisky,4,110.0
HED10534,Johnnie Walker Double Black    ,70cl,Spirits,Scotland,Whisky,17,37.5
HED10571,Ardbeg 1977,70cl,Spirits,Scotland,Whisky,2,1495.0
HED1067,La Tache DRC 2001,75cl,Red,France,Burgundy,1,7000.0
HED10760,Royal Combier Grande Liqueur,70cl,Spirits,France,"Liqueurs, Bitters & Other",2,29.9
HED1080,La Tache DRC Magnum 2009,150cl,Red,France,Burgundy,1,15900.0
HED1165,Montrachet DRC 2009,75cl,White,France,Burgundy,1,13200.0
HED1192,Musigny de Vogue 2008,75cl,Red,France,Burgundy,5,1310.0
HED1193,Musigny de Vogue 2009,75cl,Red,France,Burgundy,1,1380.0
HED1202,Musigny de Vogue 2010,75cl,Red,France,Burgundy,1,1380.0
HED12343,Fleur Cardinale 1500cl 2012,1500cl,Red,France,Bordeaux,1,610.0
HED12345,Fleur Cardinale 1200cl 2012,1200cl,Red,France,Bordeaux,2,480.0
HED1260,Puligny Montrachet Les Pucelles Domaine Leflaive 2010,75cl,White,France,Burgundy,7,812.0
HED1274,Richebourg DRC 2007  ,75cl,Red,France,Burgundy,1,4690.0
HED1342,Vosne Romanee Duvault Blochet DRC 1999,75cl,Red,France,Burgundy,4,3000.0
HED14607,Glenfarclas 25 Year Old    ,70cl,Spirits,Scotland,Whisky,17,225.0
HED14691,Glenfarclas 105 Cask Strength    ,70cl,Spirits,Scotland,Whisky,12,73.0
HED1582,Masseto 2005  ,75cl,Red,Italy,Italy,5,1110.0
HED1614,Ornellaia 1995,75cl,Red,Italy,Italy,7,325.0
HED1618,Ornellaia 2001,75cl,Red,Italy,Italy,5,380.0
HED1619,Ornellaia 2004,75cl,Red,Italy,Italy,2,395.0
HED1621,Ornellaia 2008,75cl,Red,Italy,Italy,1,280.0
HED1665,Sassicaia 1985  ,75cl,Red,Italy,Italy,3,4200.0
HED1668,Sassicaia 1997,75cl,Red,Italy,Italy,7,590.0
HED1674,Sassicaia 2008,75cl,Red,Italy,Italy,6,375.0
HED1745,Louis Roederer Cristal 2002,75cl,White,France,Champagne,3,560.0
HED1796,Krug Clos du Mesnil 1996,75cl,White,France,Champagne,2,3250.0
HED1798,Krug Clos du Mesnil 2000,75cl,White,France,Champagne,3,1380.0
HED1804,Krug Collection 1973,75cl,White,France,Champagne,1,2700.0
HED1805,Krug Collection 1979,75cl,White,France,Champagne,1,5220.0
HED1819,Krug Vintage 1988  ,75cl,White,France,Champagne,11,1250.0
HED1823,Krug Vintage 2000,75cl,White,France,Champagne,1,450.0
HED1858,Contador Benjamin Romeo 2004,75cl,Red,Spain,Spain,5,450.0
HED1936,Jura Vin Jaune 1774,62cl,White,France,Regional France,1,42400.0
HED20027,La Tache DRC 2010  ,75cl,Red,France,Burgundy,4,6900.0
HED20028,Romanee Conti DRC 2010  ,75cl,Red,France,Burgundy,1,30000.0
HED20029,Montrachet DRC 2010,75cl,White,France,Burgundy,3,13500.0
