code,title,size,style,country,type,availability,price_gbp,import_date,url
HED69616,Macallan 25 Year Old Sherry Oak (2018 Release),70cl,Spirits,Scotland,Whisky,2.0,2800.0,2024-03-28,https://hedonism.co.uk/product/macallan-25-year-old-sherry-oak-(2018-release)-whisky
HED69585,Glen Elgin 12 Year Old,70cl,Spirits,Scotland,Whisky,11.0,41.0,2024-03-28,https://hedonism.co.uk/product/glen-elgin-12-year-old-whisky
HED69504,Toki,70cl,Spirits,Japan,Whisky,22.0,32.3,2024-03-28,https://hedonism.co.uk/product/toki-whisky
HED69408,Port Charlotte 10 Year Old,70cl,Spirits,Scotland,Whisky,6.0,54.2,2024-03-28,https://hedonism.co.uk/product/port-charlotte-10-year-old-whisky
HED69343,Caol Ila 13 Year Old Discovery Gordon & MacPhail,70cl,Spirits,Scotland,Whisky,5.0,58.0,2024-03-28,https://hedonism.co.uk/product/caol-ila-13-year-old-discovery-gordon-&-macphail-whisky
HED68472,Dalmore 45 Year Old,70cl,Spirits,Scotland,Whisky,8.0,17500.0,2024-03-28,https://hedonism.co.uk/product/dalmore-45-year-old-whisky
HED67227,Bowmore 15 Year Old,70cl,Spirits,Scotland,Whisky,7.0,66.0,2024-03-28,https://hedonism.co.uk/product/bowmore-15-year-old-whisky
HED66904,Chita Distiller`s Reserve,70cl,Spirits,Japan,Whisky,15.0,55.9,2024-03-28,https://hedonism.co.uk/product/chita-distiller`s-reserve-whisky
HED64375,Ledaig 18 Year Old,70cl,Spirits,Scotland,Whisky,10.0,86.7,2024-03-28,https://hedonism.co.uk/product/ledaig-18-year-old-whisky
HED64374,Bunnahabhain 18 Year Old,70cl,Spirits,Scotland,Whisky,31.0,141.0,2024-03-28,https://hedonism.co.uk/product/bunnahabhain-18-year-old-whisky
HED63267,Glendronach Traditionally Peated,70cl,Spirits,Scotland,Whisky,3.0,55.0,2024-03-28,https://hedonism.co.uk/product/glendronach-traditionally-peated-whisky
HED62126,Highland Park Fire Edition,70cl,Spirits,Scotland,Whisky,4.0,140.0,2024-03-28,https://hedonism.co.uk/product/highland-park-fire-edition-whisky
HED61388,Macallan 12 Year Old Double Cask,70cl,Spirits,Scotland,Whisky,38.0,74.9,2024-03-28,https://hedonism.co.uk/product/macallan-12-year-old-double-cask-whisky
HED61195,Glenfarclas 40 Year Old 43%,70cl,Spirits,Scotland,Whisky,43.0,1280.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-40-year-old-43%-whisky
HED6068,Glenlivet 18 Year Old,70cl,Spirits,Scotland,Whisky,7.0,105.0,2024-03-28,https://hedonism.co.uk/product/glenlivet-18-year-old-whisky
HED6067,Glenlivet 15 Year Old The French Oak Reserve,70cl,Spirits,Scotland,Whisky,4.0,59.9,2024-03-28,https://hedonism.co.uk/product/glenlivet-15-year-old-the-french-oak-reserve-whisky
HED6063,Chivas Regal 18 Year Old,70cl,Spirits,Scotland,Whisky,16.0,71.2,2024-03-28,https://hedonism.co.uk/product/chivas-regal-18-year-old-whisky
HED6062,Chivas Regal 12 Year Old,70cl,Spirits,Scotland,Whisky,17.0,34.9,2024-03-28,https://hedonism.co.uk/product/chivas-regal-12-year-old-whisky
