code,title,size,style,country,type,availability,price_gbp,import_date,url
HED3162,Yamazaki 18 Year Old,70cl,Spirits,Japan,Whisky,27.0,850.0,2024-03-28,https://hedonism.co.uk/product/yamazaki-18-year-old-whisky
HED3161,Yamazaki 12 Year Old,70cl,Spirits,Japan,Whisky,53.0,145.0,2024-03-28,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky
HED3137,Bowmore 12 Year Old,70cl,Spirits,Scotland,Whisky,17.0,37.5,2024-03-28,https://hedonism.co.uk/product/bowmore-12-year-old-whisky
HED3133,Auchentoshan Three Wood,70cl,Spirits,Scotland,Whisky,3.0,49.9,2024-03-28,https://hedonism.co.uk/product/auchentoshan-three-wood-whisky
HED3116,Glenfiddich 21 Year Gran Reserva,70cl,Spirits,Scotland,Whisky,3.0,175.0,2024-03-28,https://hedonism.co.uk/product/glenfiddich-21-year-gran-reserva-whisky
HED3115,Glenfiddich 18 Year Old,70cl,Spirits,Scotland,Whisky,17.0,88.9,2024-03-28,https://hedonism.co.uk/product/glenfiddich-18-year-old-whisky
HED3114,Glenfiddich 12 Year Old,70cl,Spirits,Scotland,Whisky,27.0,41.0,2024-03-28,https://hedonism.co.uk/product/glenfiddich-12-year-old-whisky
HED3110,Balvenie 21 Year Old Portwood,70cl,Spirits,Scotland,Whisky,3.0,243.0,2024-03-28,https://hedonism.co.uk/product/balvenie-21-year-old-portwood-whisky
HED3093,Glenmorangie 18 Year Old Extremely Rare,70cl,Spirits,Scotland,Whisky,9.0,105.0,2024-03-28,https://hedonism.co.uk/product/glenmorangie-18-year-old-extremely-rare-whisky
HED2976,Macallan 12 Year Old Sherry Oak,70cl,Spirits,Scotland,Whisky,25.0,85.0,2024-03-28,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky
HED29102,InchDairnie Ryelaw,70cl,Spirits,Scotland,Whisky,28.0,106.0,2024-03-28,https://hedonism.co.uk/product/inchdairnie-ryelaw-whisky
HED2903,Nikka From The Barrel,50cl,Spirits,Japan,Whisky,15.0,45.9,2024-03-28,https://hedonism.co.uk/product/nikka-from-the-barrel-whisky
HED2886,Compass Box Peat Monster,70cl,Spirits,Scotland,Whisky,6.0,52.0,2024-03-28,https://hedonism.co.uk/product/compass-box-peat-monster-whisky
HED26459,Kavalan Solist Bourbon Cask 57.8%,70cl,Spirits,"Taiwan, Province of China",Whisky,5.0,155.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-bourbon-cask-57.8%-whisky
HED26061,Mac-Talla Terra,70cl,Spirits,Scotland,Whisky,2.0,47.5,2024-03-28,https://hedonism.co.uk/product/mac-talla-terra-whisky
HED25945,English Whisky Co 9 Year Old Batch 4 TBWC,50cl,Spirits,England,Whisky,3.0,58.0,2024-03-28,https://hedonism.co.uk/product/english-whisky-co-9-year-old-batch-4-tbwc-whisky
HED22910,Old Perth Vintage Collection Carn Mor 1994,70cl,Spirits,Scotland,Whisky,2.0,153.0,2024-03-28,https://hedonism.co.uk/product/old-perth-vintage-collection-carn-mor-1994-whisky
HED22891,Tobermory 21 Year Old,70cl,Spirits,Scotland,Whisky,6.0,165.0,2024-03-28,https://hedonism.co.uk/product/tobermory-21-year-old-whisky
HED22714,Bruichladdich The Organic 2011,70cl,Spirits,Scotland,Whisky,4.0,74.9,2024-03-28,https://hedonism.co.uk/product/bruichladdich-the-organic-2011-whisky
HED22649,Braes Of Glenlivet 25 Year Old Secret Speyside,70cl,Spirits,Scotland,Whisky,4.0,370.0,2024-03-28,https://hedonism.co.uk/product/braes-of-glenlivet-25-year-old-secret-speyside-whisky
HED22644,Caperdonich Unpeated 21 Year Old Secret Speyside,70cl,Spirits,Scotland,Whisky,5.0,249.0,2024-03-28,https://hedonism.co.uk/product/caperdonich-unpeated-21-year-old-secret-speyside-whisky
HED22637,Loch Lomond 14 Year Old,70cl,Spirits,Scotland,Whisky,5.0,54.5,2024-03-28,https://hedonism.co.uk/product/loch-lomond-14-year-old-whisky
HED21627,Port Askaig Cask Strength,70cl,Spirits,Scotland,Whisky,3.0,68.0,2024-03-28,https://hedonism.co.uk/product/port-askaig-cask-strength-whisky
HED21599,Kavalan Ex-Bourbon Oak,70cl,Spirits,"Taiwan, Province of China",Whisky,5.0,90.0,2024-03-28,https://hedonism.co.uk/product/kavalan-ex-bourbon-oak-whisky
HED21598,Kavalan Solist Madeira 58.6%,70cl,Spirits,"Taiwan, Province of China",Whisky,5.0,215.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-madeira-58.6%-whisky
HED21597,Kavalan Solist Oloroso Sherry Cask 53.2%,70cl,Spirits,"Taiwan, Province of China",Whisky,10.0,158.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-oloroso-sherry-cask-53.2%-whisky
HED21596,Kavalan Solist Port Cask 57.8%,70cl,Spirits,"Taiwan, Province of China",Whisky,5.0,139.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-port-cask-57.8%-whisky
HED21595,Kavalan Podium,70cl,Spirits,"Taiwan, Province of China",Whisky,5.0,86.5,2024-03-28,https://hedonism.co.uk/product/kavalan-podium-whisky
HED21594,Kavalan Solist Peated 54%,70cl,Spirits,"Taiwan, Province of China",Whisky,11.0,180.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-peated-54%-whisky
HED21593,Kavalan Solist Vinho Barrique 57.1%,70cl,Spirits,"Taiwan, Province of China",Whisky,7.0,215.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-vinho-barrique-57.1%-whisky
HED21588,Glenturret 35 Year Old 35th Anniversary Signatory 1988,70cl,Spirits,Scotland,Whisky,2.0,785.0,2024-03-28,https://hedonism.co.uk/product/glenturret-35-year-old-35th-anniversary-signatory-1988-whisky
HED21425,Lagavulin Distiller`s Edition (2022 Release),70cl,Spirits,Scotland,Whisky,7.0,85.0,2024-03-28,https://hedonism.co.uk/product/lagavulin-distiller`s-edition-(2022-release)-whisky
HED21421,Knockdhu 10 Year Old Infrequent Flyers 2013,70cl,Spirits,Scotland,Whisky,2.0,72.0,2024-03-28,https://hedonism.co.uk/product/knockdhu-10-year-old-infrequent-flyers-2013-whisky
HED21419,Mannochmore 15 Year Old Infrequent Flyers 2008,70cl,Spirits,Scotland,Whisky,10.0,88.0,2024-03-28,https://hedonism.co.uk/product/mannochmore-15-year-old-infrequent-flyers-2008-whisky
HED21417,Benrinnes 17 Year Old Infrequent Flyers 2006,70cl,Spirits,Scotland,Whisky,3.0,96.0,2024-03-28,https://hedonism.co.uk/product/benrinnes-17-year-old-infrequent-flyers-2006-whisky
HED21331,The Accelerator & the Brake 33 Year Old House of Hazelwood Legacy Collection,70cl,Spirits,Scotland,Whisky,2.0,1700.0,2024-03-28,https://hedonism.co.uk/product/the-accelerator-&-the-brake-33-year-old-house-of-hazelwood-legacy-collection-whisky
HED21263,Roseisle 12 Year Old Special Release 2023,70cl,Spirits,Scotland,Whisky,37.0,120.0,2024-03-28,https://hedonism.co.uk/product/roseisle-12-year-old-special-release-2023-whisky
HED21179,Glenturret 10 Year Old Peat Smoked (2023 Release),70cl,Spirits,Scotland,Whisky,8.0,67.0,2024-03-28,https://hedonism.co.uk/product/glenturret-10-year-old-peat-smoked-(2023-release)-whisky
HED21178,Glenturret 7 Year Old Peat Smoked (2023 Release),70cl,Spirits,Scotland,Whisky,4.0,62.0,2024-03-28,https://hedonism.co.uk/product/glenturret-7-year-old-peat-smoked-(2023-release)-whisky
HED21177,Glenturret Triple Wood (2023 Release),70cl,Spirits,Scotland,Whisky,5.0,62.0,2024-03-28,https://hedonism.co.uk/product/glenturret-triple-wood-(2023-release)-whisky
HED21092,Glasgow 1770 The Original,70cl,Spirits,Scotland,Whisky,4.0,46.5,2024-03-28,https://hedonism.co.uk/product/glasgow-1770-the-original-whisky
HED21050,Edradour 10 Year Old Un-Chillfiltered Collection Signatory 2013,70cl,Spirits,Scotland,Whisky,7.0,60.5,2024-03-28,https://hedonism.co.uk/product/edradour-10-year-old-un-chillfiltered-collection-signatory-2013-whisky
HED21048,Caol Ila 15 Year Old Cask Strength Collection Signatory 2007,70cl,Spirits,Scotland,Whisky,2.0,145.0,2024-03-28,https://hedonism.co.uk/product/caol-ila-15-year-old-cask-strength-collection-signatory-2007-whisky
HED21007,Bladnoch Talia,70cl,Spirits,Scotland,Whisky,6.0,305.0,2024-03-28,https://hedonism.co.uk/product/bladnoch-talia-whisky
HED14691,Glenfarclas 105 Cask Strength,70cl,Spirits,Scotland,Whisky,6.0,73.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-105-cask-strength-whisky
HED14691,Glenfarclas 105 Cask Strength,70cl,Spirits,Scotland,Whisky,6.0,63.9,2024-03-28,https://hedonism.co.uk/product/glenfarclas-105-cask-strength-whisky
HED14607,Glenfarclas 25 Year Old,70cl,Spirits,Scotland,Whisky,14.0,225.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-25-year-old-whisky
HED10534,Johnnie Walker Double Black,70cl,Spirits,Scotland,Whisky,19.0,37.5,2024-03-28,https://hedonism.co.uk/product/johnnie-walker-double-black-whisky
HED0133,Laphroaig 10 Year Old,70cl,Spirits,Scotland,Whisky,18.0,39.9,2024-03-28,https://hedonism.co.uk/product/laphroaig-10-year-old-whisky
HED0112,Highland Park 18 Year Old,70cl,Spirits,Scotland,Whisky,12.0,125.0,2024-03-28,https://hedonism.co.uk/product/highland-park-18-year-old-whisky
HED0108,Glenmorangie Signet,70cl,Spirits,Scotland,Whisky,13.0,195.0,2024-03-28,https://hedonism.co.uk/product/glenmorangie-signet-whisky
HED0084,Caol Ila 25 Year Old,70cl,Spirits,Scotland,Whisky,22.0,295.0,2024-03-28,https://hedonism.co.uk/product/caol-ila-25-year-old-whisky
HED00097,Dalmore Luminary No.2 2024 Edition `The Collectible`,70cl,Spirits,Scotland,Whisky,139.0,275.0,2024-03-28,https://hedonism.co.uk/product/dalmore-luminary-no.2-2024-edition-`the-collectible`-whisky
HED00091,Hazelburn 13 Year Old Limited Edition (2021 Release),70cl,Spirits,Scotland,Whisky,3.0,155.0,2024-03-28,https://hedonism.co.uk/product/hazelburn-13-year-old-limited-edition-(2021-release)-whisky
HED00068,Glenfarclas 105 16 Year Old Cask Strength,70cl,Spirits,Scotland,Whisky,6.0,195.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-105-16-year-old-cask-strength-whisky
HED00040,Chichibu London Edition (2022 Release),70cl,Spirits,Japan,Whisky,2.0,455.0,2024-03-28,https://hedonism.co.uk/product/chichibu-london-edition-(2022-release)-whisky
HED00003,Linkwood 26 Year Old Cask Strength Collection Signatory 1997,70cl,Spirits,Scotland,Whisky,3.0,192.0,2024-03-28,https://hedonism.co.uk/product/linkwood-26-year-old-cask-strength-collection-signatory-1997-whisky
